continent,region,superregion2,iso3,Country,year,Fruits,Non-starchy vegetables,Potatoes,Other starchy vegetables,Beans and legumes,Nuts and seeds,Refined grains,Whole grains,Total processed meats,Unprocessed red meats,Total seafoods,Eggs,Cheese,Yoghurt (including fermented milk),Sugar-sweetened beverages,Fruit juices,Coffee,Tea,Total Milk,Cardiovascular diseases,Chronic respiratory diseases,Diabetes and kidney diseases,Digestive diseases,Enteric infections,Maternal and neonatal disorders,Mental disorders,Musculoskeletal disorders,Neglected tropical diseases and malaria,Neoplasms,Neurological disorders,Nutritional deficiencies,Other infectious diseases,Other non-communicable diseases,Respiratory infections and tuberculosis,Sense organ diseases,Skin and subcutaneous diseases,Substance use disorders,GDD1,GDD2,GDD3,GDD4,GDD5,GDD_cluster_5,GBD1,GBD2,GBD3,GBD4,GBD5,GBD_cluster_5,PM25,MeanT,RH,PR,Heat_index,Climate_cluster_5,PHDI_total,trade,gdp,urb,Score_Whole_grains,Score_Whole_fruits,Score_Nonstarchy_vegetables,Score_Nuts_and_seeds,Score_Legumes,Score_Unsat_oils,Score_Fish,Score_Starchy_veg,Score_Dairy,Score_Red_meat,Score_Eggs,Score_Sat_fat,Score_Sugar,Fruits_Q,Non-starchy vegetables_Q,Potatoes_Q,Other starchy vegetables_Q,Beans and legumes_Q,Nuts and seeds_Q,Refined grains_Q,Whole grains_Q,Total processed meats_Q,Unprocessed red meats_Q,Total seafoods_Q,Eggs_Q,Cheese_Q,Yoghurt (including fermented milk)_Q,Sugar-sweetened beverages_Q,Fruit juices_Q,Coffee_Q,Tea_Q,Total Milk_Q,Cardiovascular diseases_Q,Chronic respiratory diseases_Q,Diabetes and kidney diseases_Q,Digestive diseases_Q,Enteric infections_Q,Maternal and neonatal disorders_Q,Mental disorders_Q,Musculoskeletal disorders_Q,Neglected tropical diseases and malaria_Q,Neoplasms_Q,Neurological disorders_Q,Nutritional deficiencies_Q,Other infectious diseases_Q,Other non-communicable diseases_Q,Respiratory infections and tuberculosis_Q,Sense organ diseases_Q,Skin and subcutaneous diseases_Q,Substance use disorders_Q,GDD1_Q,GDD2_Q,GDD3_Q,GDD4_Q,GDD5_Q,GBD1_Q,GBD2_Q,GBD3_Q,GBD4_Q,GBD5_Q,PM25_Q,MeanT_Q,RH_Q,PR_Q,Heat_index_Q,PHDI_total_Q,trade_Q,gdp_Q,urb_Q,Score_Whole_grains_Q,Score_Whole_fruits_Q,Score_Nonstarchy_vegetables_Q,Score_Nuts_and_seeds_Q,Score_Legumes_Q,Score_Unsat_oils_Q,Score_Fish_Q,Score_Starchy_veg_Q,Score_Dairy_Q,Score_Red_meat_Q,Score_Eggs_Q,Score_Sat_fat_Q,Score_Sugar_Q
Europe,Europe & Central Asia,FSU,EST,Estonia,1990,99.19128848,114.3304546,135.7608609,6.19966296,6.122117191,1.646502938,8.31770141,101.648195,98.6328997,113.3726694,33.42729936,43.40795998,103.0591577,149.6575628,51.53094312,191.5115387,0.091964549,0.426576908,520.5429117,13999.5771255156,726.71426593058,771.933136545145,1171.79807545713,57.2546616467527,1072.89270199833,2070.08780007002,2245.68034955926,59.2901137442692,6036.2808303546,1634.80439157329,321.313337100448,204.778568062616,2000.0304262018,789.174670839489,807.64326897851,475.934245789841,1136.4398796563,187.511362245533,85.1378430266667,53.8351547190572,28.86530304,101.648195,1,2070.08780007002,4310.07097427293,643.533497084815,949.256170693855,623.933691167493,4,14.17,6.87,80.39,869.28,0,2,43.30494621,,11731036820.9007,71.231,5.476734644,6.19945553,4.763768942,0.411625735,0.510176433,8.73510442,8.085538306,0,0,0,0,0,9.122542206,3,3,4,1,1,2,1,4,4,4,3,4,4,4,1,4,1,1,4,4,1,1,2,1,1,4,4,1,4,4,1,1,2,1,4,2,4,4,4,1,1,4,4,4,1,1,1,1,1,4,2,1,2,,2,4,4,3,3,2,1,3,4,1,1,1,1,2,4
Europe,Europe & Central Asia,FSU,EST,Estonia,1995,102.0851875,97.88213142,143.847727,3.708643375,5.836429666,4.74168813,87.36121564,113.4356584,71.77652181,70.89276892,32.5042274,36.67732288,101.9099654,155.7855864,56.3613844,165.2367481,1.152686109,0.620685531,338.9672899,16305.2215857413,735.010449818484,1060.13430508555,1500.12377323828,50.0928453168427,754.954712835998,2101.5752861073,2363.38452086835,56.426725146948,6869.28561456164,1783.6766816737,293.473841337238,185.759601919491,1865.78498957598,1215.44565230907,842.309948872277,480.816586601505,1912.16790011962,202.213995113533,59.7822045366667,70.8585399181143,30.0350138875,113.4356584,1,2101.5752861073,5012.67437530615,631.705481205938,1117.56711152838,770.475445843528,4,13.39,6.31,79.7,750.34,0,2,42.66883658,139.087473677663,9302781760.0801,70.3,6.111835043,6.380324219,4.078422143,1.185422033,0.486369139,8.862991341,8.245793854,0,0,0,0,0,7.317678806,3,2,4,1,1,3,1,4,4,4,3,4,4,4,1,4,4,3,4,4,1,2,3,1,1,4,4,1,4,4,1,1,2,2,4,2,4,4,4,1,1,4,4,4,1,2,2,1,1,4,2,1,2,4,2,3,4,3,2,3,1,3,3,1,1,2,1,2,4
Europe,Europe & Central Asia,FSU,EST,Estonia,2000,104.0206108,135.3258159,143.1460928,3.951358769,6.066508402,4.239095794,141.6523118,120.0114483,73.66839304,70.82685507,32.0591433,31.25868587,105.3925458,165.5410702,78.0218429,153.7319483,1.687910146,0.779033,245.6092005,14258.5126387926,620.533705016612,1073.99422216168,1606.69144727436,33.1792040112976,524.087819026978,2159.55012997828,2486.57747591072,60.4976062121235,6680.46814882474,1767.90508808433,268.292366058349,138.669027092202,1735.98213891816,1120.89447530298,892.436231930488,465.934247217274,1754.87625399917,210.6258807588,58.58464466,90.1727843422857,40.9866008345,120.0114483,1,2159.55012997828,4640.12930625701,554.514662374584,1113.61257614549,769.964234689477,4,11.82,7.09,80.16,763.32,0,2,37.65000521,126.495626368659,13163087062.2361,69.368,6.466134068,6.501288175,5.638575663,1.059773949,0.505542367,9.155625593,8.323065399,0,0,0,0,0,0,3,3,4,1,1,3,1,4,4,4,3,4,4,4,2,4,4,4,4,4,1,2,4,1,1,4,4,2,4,4,1,1,2,2,4,2,4,4,4,2,1,4,4,4,1,2,2,1,1,3,2,1,1,4,2,3,4,3,3,3,1,3,3,1,1,2,1,2,1
Europe,Europe & Central Asia,FSU,EST,Estonia,2005,103.8115516,172.2101749,135.7973168,3.513347978,5.947963729,6.035156003,117.7219204,120.4507621,96.16380584,87.21867214,30.34453113,26.379245,90.88513375,159.1842587,74.30377342,158.9675407,2.068470645,0.738585319,300.0145555,13123.4658768613,572.5307660484,1149.41859863603,1800.1790603052,28.1746421610472,438.254566061244,2103.521297884,2628.64057271835,60.8755947061576,6550.87875211503,1837.42725702581,221.432569656733,120.796395957302,1644.54050606811,909.685158770875,948.546031429112,465.548579427769,2031.96988674156,232.786128922667,69.9205743266667,90.4465515530286,38.908560699,120.4507621,1,2103.521297884,4520.15472948186,489.108490483067,1186.3549131768,807.4835890319,4,9.61,6.08,79.27,643.29,0,2,39.89231444,135.912792115107,22540852088.499,68.735,6.489803992,6.488221975,7.175423954,1.508789001,0.495663644,9.113670749,8.620741123,0,0,0,0,0,0,3,4,4,1,1,3,1,4,4,4,3,4,4,4,1,4,4,4,4,4,1,2,4,1,1,4,4,2,4,4,1,1,2,2,4,2,4,4,4,2,1,4,4,4,1,3,2,1,1,3,2,1,1,4,2,3,4,3,4,3,1,3,4,1,1,2,1,2,1
Europe,Europe & Central Asia,FSU,EST,Estonia,2010,103.3406223,241.0078429,131.0706387,4.207931381,5.952805525,8.184127844,164.5459456,123.9923822,89.57042216,104.5468844,30.43752831,30.93281637,89.8873493,159.2224321,67.01342022,154.3886177,2.2298463,0.734501838,256.6644131,10943.2113172065,510.519064718259,1164.07237400954,1597.29512186809,30.8971185184063,371.036140279168,2022.11265639456,2743.95720562083,55.5628153047281,6048.70165281308,1901.15585220814,191.235009151534,92.6120593406644,1495.98873426319,670.327631308314,1012.00178500806,468.593229424977,1639.34883199131,231.026073956667,75.0167076433333,107.061994693914,35.6106758005,123.9923822,1,2022.11265639456,4048.06277414132,415.379929738001,1053.90709329317,816.332801717259,4,9.14,5,82.33,831.12,0,2,43.49753086,143.671762256978,28782111932.212,68.094,6.680624041,6.458788894,10,2.046031961,0.496067127,9.211423055,8.60459578,0,0,0,0,0,0,3,4,4,1,1,3,1,4,4,4,2,4,4,4,1,4,4,3,4,4,1,2,4,1,1,3,4,2,4,4,1,1,1,1,4,2,4,4,4,3,1,4,3,4,1,2,2,1,1,4,2,1,2,4,2,3,4,3,4,3,1,3,4,1,1,2,1,2,1
Europe,Europe & Central Asia,FSU,EST,Estonia,2015,104.9330074,314.2862354,131.1654091,3.342729055,5.922495694,7.756109279,168.8698456,105.9017479,77.67022649,66.58303667,28.05137238,33.49806936,94.54712348,144.8457178,54.51962933,131.4302012,2.266153768,0.670941302,406.7251722,9709.79511537747,524.885323833721,1597.77083621124,1651.37581989327,29.2066542495799,300.651975185016,1976.78753990751,2902.28151088892,50.7521254015383,6237.91752395953,2092.20319110865,177.356237999635,79.4771007302436,1518.28028644,609.144116689094,1088.08364457356,480.360069433836,1485.14651793566,252.220574847067,59.2504441733333,115.546600732371,28.9311791925,105.9017479,1,1976.78753990751,3919.2379173073,394.981213813587,1088.1305718635,1039.06545282254,4,7.18,7.44,80.06,692.61,0,2,48.26932268,148.507157123558,39094673598.3447,68.416,5.705913141,6.558312963,10,1.93902732,0.493541308,8.990784102,9.018858962,0,0,0,0,0,5.562884885,3,4,4,1,1,3,2,4,4,4,2,4,4,4,1,4,4,3,4,4,1,3,4,1,1,3,4,2,4,4,1,1,1,1,4,2,4,4,4,3,1,4,3,4,1,3,3,1,1,4,2,1,3,4,2,3,4,3,4,3,1,3,4,1,1,2,1,2,4
Europe,Europe & Central Asia,FSU,EST,Estonia,2018,105.2058697,293.3242626,127.7625053,3.330781784,5.980641563,8.09568769,145.6662338,107.3826366,88.02808509,75.47462217,30.17586272,35.68337285,94.39102623,145.0382432,53.20726445,126.0859607,2.487230702,0.566452487,395.5197131,9117.64398687252,528.32172587941,1897.2112452824,1607.40024245411,28.3590099615515,277.119565957693,1979.21115373832,2960.58812390334,49.7830664341626,6321.35143374687,2232.9737902718,178.570403523752,74.947013581723,1562.3392608936,530.688500127329,1113.14331311954,489.249266663287,1377.12733213121,258.731766637267,66.3953600366667,105.6540116578,28.269023117,107.3826366,1,1979.21115373832,3853.80466334088,385.972402925687,1067.86098416676,1193.23025597284,4,7.8,7.11,78.71,586.54,0,2,48.80085312,143.485224864735,49073092321.7703,68.88,5.785702403,6.575366856,10,2.023921923,0.498386797,8.976107408,8.650023833,0,0,0,0,0,6.291343899,3,4,4,1,1,3,1,4,4,4,2,4,4,4,1,4,4,2,4,4,1,3,4,1,1,3,4,2,4,4,1,1,2,1,4,2,4,4,4,2,1,4,3,4,1,3,3,1,1,3,1,1,3,4,2,3,4,3,4,3,1,3,4,1,1,1,1,2,4
Africa,Sub-Saharan Africa,SSA,ETH,Ethiopia,1990,35.87263246,86.02043473,56.82952327,25.4402017,39.60580928,1.486555729,195.3663191,171.4998556,6.828995902,10.01305727,4.04063614,10.41242064,2.484269444,6.565817794,93.21490052,4.077787284,0.392132074,0.555738606,32.0318729,3635.7030388136,1104.89516346533,1804.95597271454,2186.7446029921,12972.3551362377,22520.646751963,1567.16814947627,909.029408633376,4064.97066614902,2667.86203045017,926.168837803424,6964.81882519042,21204.2093910418,5675.42312752345,23489.1417471783,576.525604107444,732.952152932706,239.056295604957,34.4350180058667,9.084824604,72.9519210742572,59.32755111,171.4998556,5,1567.16814947627,1492.3908692355,13841.6522350405,1645.81988322872,1268.95406282362,1,26.02,23.08,56.27,983.67,2.21,1,47.54252743,,19854533229.0233,12.621,9.240293944,2.242039529,3.58418478,0.371638932,3.300484107,0,1.80385542,0,2.054098007,4.962452525,9.987061833,0,9.996418353,1,2,3,2,4,2,2,4,1,1,1,2,2,1,2,1,3,3,1,1,3,4,4,4,4,2,1,4,3,1,4,4,4,4,2,4,2,2,1,1,2,4,2,2,4,4,4,3,3,1,2,4,3,,2,1,4,1,2,2,4,1,1,1,1,4,4,2,4
Africa,Sub-Saharan Africa,SSA,ETH,Ethiopia,1995,36.61313215,86.72303401,56.61765537,28.46088821,38.79123158,1.544574663,165.4210067,172.3497917,6.03984266,10.22066837,4.117668183,10.83074038,2.543896299,6.922671858,89.92949416,4.308949067,0.374525042,0.556653118,33.44050589,3232.16434619,978.955469976636,1632.88081015595,2012.48116252967,11254.7681260238,20639.7598130347,1552.76674569564,885.145122298749,2546.9292855634,2434.382166202,930.346828645493,6545.48323485455,17738.119295154,5102.51948970788,19562.4496421241,526.246332670942,744.832388853151,231.328233728877,33.9594932816,9.03041713666667,68.8179570240572,59.195191185,172.3497917,5,1552.76674569564,1373.26883828934,11912.8612694946,1495.71831625315,1188.85659950455,1,22.67,23.32,56.34,998.4,3.52,1,47.82200067,,23549705165.4912,13.827,9.286087915,2.288320759,3.61345975,0.386143666,3.232602632,0,1.838244725,0,2.145353702,5.48168658,9.551312104,0,9.998788839,1,1,3,2,4,2,2,4,1,1,1,2,2,1,2,1,3,2,1,1,2,4,4,4,4,2,1,4,3,1,4,4,4,4,2,4,2,2,1,1,2,4,2,1,4,4,4,2,3,1,2,4,3,,3,1,4,1,1,2,4,1,1,1,1,4,4,2,4
Africa,Sub-Saharan Africa,SSA,ETH,Ethiopia,2000,37.56883336,87.00500879,56.47995706,25.71871271,36.70014035,1.496416698,167.6297257,172.7425781,37.86094601,10.48130468,4.658015191,6.720910836,2.579061059,7.151180099,112.1994123,3.997902036,0.323894691,0.557129914,33.97400795,2707.12460329098,829.823657419757,1385.52340384023,1778.03069450825,8475.96632212356,18411.6226110151,1539.81668051118,867.907797510434,2833.83500842499,2077.45777852165,886.964505361831,5245.37636232079,13739.3445654094,4346.64530126048,14587.2171629227,540.821994848283,718.976494721109,220.359034916079,31.7662019604667,18.3543871753333,69.1000573063143,68.959062505,172.7425781,5,1539.81668051118,1216.77261907488,9662.85819049672,1303.927175964,1052.24994928067,1,27.33,22.86,53.56,931.02,2.68,1,47.03364615,,31946530375.1548,14.74,9.307250975,2.348052085,3.6252087,0.374104175,3.058345029,7.615629913,2.079471067,0,2.185212455,0,6.462414265,0,9.977957482,1,1,3,2,4,1,2,4,4,1,1,1,2,1,2,1,3,2,1,1,2,3,4,4,4,2,1,4,2,1,4,4,4,4,2,4,2,2,2,1,2,4,2,1,4,3,4,3,3,1,2,4,3,,3,1,4,1,1,1,4,1,1,1,1,2,3,2,4
Africa,Sub-Saharan Africa,SSA,ETH,Ethiopia,2005,39.14729147,87.55940368,57.20282786,23.79455485,35.72538034,1.597770007,192.6863536,174.2134078,40.85915138,11.01066893,4.263648015,8.193919366,2.695550049,7.700536668,149.9881964,3.893908137,0.083712283,0.558913949,43.85401029,2214.98365437552,696.059600080549,1158.52501838238,1514.45808818904,5990.52887862646,15759.1640753698,1512.33403845756,848.288501642253,4149.02636685483,1734.21150352612,840.290018167116,3429.99010454617,8444.27211666423,3625.72759190582,9683.14054193988,538.768036384513,690.684832511485,211.798647881208,22.9468783514,20.0212465586667,72.8711555293143,86.891375625,174.2134078,5,1512.33403845756,1064.72339366279,7297.40709655817,1105.25884413479,924.604925446932,1,27.78,23.45,53.62,1010.81,3.56,1,47.21152734,,48941322952.6669,15.7,9.386498265,2.446705717,3.648308487,0.399442502,2.977115028,6.350914667,1.903414292,0,2.71250485,0,7.878768621,0,9.507854913,1,1,3,1,4,1,2,4,4,1,1,1,2,1,3,1,1,2,1,1,2,2,3,4,4,1,1,4,2,1,4,4,4,4,2,4,2,1,2,1,3,4,1,1,4,3,3,3,3,1,2,4,3,,3,1,4,1,1,1,4,1,1,1,1,2,4,2,4
Africa,Sub-Saharan Africa,SSA,ETH,Ethiopia,2010,40.87866869,89.56382661,55.37642069,24.02302095,35.5612631,1.673575065,268.673672,176.3902804,45.56052747,11.8997505,4.509567372,7.65208481,2.861708086,8.501519569,169.7274231,4.318476854,0.289545379,0.562082985,54.07434194,1887.23673280106,599.92355998293,981.422322297803,1284.85098180306,4190.89831872034,12349.0558891712,1519.97865535087,873.456505175505,2725.80447491496,1512.87408160092,820.671195836972,2203.63476637596,5376.83437853869,3033.22412433405,6057.13766757625,554.019316625784,674.870679568548,247.777748134247,33.7305290427,21.7041209266667,84.4034733192857,96.875222025,176.3902804,5,1519.97865535087,982.672596695748,5133.79851709021,942.387270892995,828.146500933176,3,30.72,23.56,55.68,1060.68,3.82,1,45.70832062,,90145031680.764,17.319,9.503786659,2.554916793,3.731826109,0.418393766,2.963438592,4.757806473,2.01319972,0.15013959,3.27187848,0,7.357773856,0,8.985160587,1,1,3,2,4,1,3,4,4,1,1,1,2,1,3,1,2,2,1,1,1,1,3,4,4,1,1,4,1,1,4,4,4,4,2,4,2,1,2,1,2,4,1,1,4,2,2,3,3,1,2,3,2,,3,1,4,1,1,1,4,1,1,3,2,2,4,2,4
Africa,Sub-Saharan Africa,SSA,ETH,Ethiopia,2015,38.53979492,88.51638098,63.75095844,26.46848224,34.72363495,1.634674752,307.8865755,176.4836638,27.23269353,10.58122879,4.574975087,7.854815307,2.595751022,7.240196173,168.7525105,3.776826491,0.263576127,0.559713635,45.81299623,1762.74096300387,530.024556919026,935.314205173012,1176.94596809313,3077.76285976892,10034.2803717291,1570.93681492397,945.80315142925,1375.76379357793,1460.97771992326,823.6646046485,1685.42503790107,3497.21031125804,2678.37917373974,4396.56596934655,591.732942983299,665.037401750836,252.261357772167,32.2498065066,15.2229125423333,89.3153762867143,97.61049637,176.4836638,5,1570.93681492397,972.863456626724,3820.76964533162,853.485262506078,800.175803461924,3,31.44,23.98,53.87,931.52,3.9,1,43.73510603,39.6561241449515,169575372912.615,19.428,9.508818093,2.408737183,3.688182541,0.408668688,2.893636246,4.637126549,2.042399592,0,2.782447171,0,7.552707026,0,7.812382944,1,1,3,2,3,1,3,4,3,1,1,1,2,1,3,1,2,2,1,1,1,1,2,4,4,2,1,4,1,1,4,4,4,4,2,4,2,1,1,2,3,4,2,1,4,1,1,3,3,1,2,3,2,1,3,1,4,1,1,1,3,1,1,1,1,2,4,2,4
Africa,Sub-Saharan Africa,SSA,ETH,Ethiopia,2018,38.6011194,88.84519322,65.27598098,23.98220363,34.4709274,1.711494981,324.9953314,177.0689713,24.58593797,10.47807957,4.896086861,6.548928809,2.605862587,7.249077104,194.7709974,3.875807998,0.266637201,0.560754102,44.36939951,1781.68116175196,518.959411411344,961.146882472293,1172.0611573266,2703.27185347017,9012.51795768248,1602.89368087725,975.319795437328,1055.93279572963,1513.59279130844,840.992955753082,1476.64887112048,2344.40453324069,2562.62789333805,3863.99757212377,607.60833210255,661.760987838778,261.079599671133,32.4191555676333,13.8709821163333,91.8756210965143,109.376600515,177.0689713,5,1602.89368087725,996.712439337415,3288.48592524361,845.510284368972,811.453935155535,3,30.26,23.44,55.66,1048.85,3.66,1,37.31025967,31.1993689777881,236067178129.627,20.763,9.540354057,2.412569963,3.701883051,0.427873745,2.872577283,4.539082901,2.185753063,0,2.71121696,0,6.297046932,0,2.621901716,1,1,3,2,3,1,3,4,3,1,1,1,2,1,3,1,2,2,1,1,1,1,2,4,4,2,1,4,1,1,4,4,4,4,2,4,2,1,1,2,3,4,2,1,4,1,1,3,3,1,3,4,1,1,3,1,4,1,1,1,3,1,1,1,2,1,4,2,4
Europe,Europe & Central Asia,HIC,FIN,Finland,1990,96.78209352,84.57712831,59.8510064,4.588070486,6.072314305,2.110947814,84.69711824,52.35551789,39.33840801,55.34568876,35.19012479,19.81384925,28.13967626,56.48261773,69.83026646,45.77366223,1.705257039,0.401248732,260.3614911,9588.01746082609,915.916289296048,724.037282671404,1200.5207375347,53.8963194507684,452.920171934017,2435.7158270238,2276.94578644341,6.34479040731322,4925.58307802205,1915.4206774876,85.2747405276045,92.8261880832348,1735.74508104867,895.776676629593,682.34722647679,599.503996749828,776.809928280776,150.928505287533,38.1659820066667,59.4975555252286,37.209168473,52.35551789,1,2435.7158270238,3360.85402625612,474.6834240116,1058.21851341537,661.770639710616,5,9.25,3.14,78.87,651.38,0,2,37.34384422,45.8390132360055,90427763363.2559,79.367,2.820879197,6.048880845,3.524047013,0.527736954,0.506026192,9.301833242,7.779492224,3.890230779,2.750810746,0,0.193907031,0,0,3,2,3,1,1,2,1,3,4,3,3,3,4,4,2,4,4,1,4,4,2,1,2,1,1,4,4,1,4,4,1,1,1,1,3,4,4,4,3,1,1,3,4,4,1,2,2,1,1,3,2,1,1,2,3,4,3,3,2,2,1,4,3,3,2,1,2,2,1
Europe,Europe & Central Asia,HIC,FIN,Finland,1995,48.58903914,95.65781647,53.58655389,4.873688099,7.554717365,2.396935796,52.10037277,56.01492294,36.3896013,51.98409368,37.07935988,20.66569453,28.32280646,58.41937129,65.14229479,50.84704264,1.41734212,0.395075759,275.4350465,8544.98968143192,904.053433577735,752.277633729077,1221.78003963018,59.2387736596534,355.461732639809,2297.42288284195,2306.79835381873,6.02257007185628,4871.81910467101,1988.23008169761,79.4454533264423,82.6915903067763,1599.44841979027,887.006345713679,697.636707188959,607.596529970716,864.106016919824,140.792949732667,36.34646317,49.8263505603143,35.0079914445,56.01492294,1,2297.42288284195,3212.26332428801,438.473555072641,1062.91673660396,679.937081849896,5,8.69,2.72,79.06,675.61,0,2,35.36327187,64.1355353769273,99882215803.7782,80.963,3.018045417,3.036814946,3.985742353,0.599233949,0.62955978,9.366297113,7.451500021,5.384939503,1.891138788,0,0,0,0,1,2,3,1,1,2,1,4,4,3,3,4,4,4,2,4,4,1,4,4,2,1,2,1,1,4,4,1,4,4,1,1,1,1,4,4,4,4,4,1,1,4,4,4,1,2,1,1,1,3,2,1,1,2,3,4,4,1,2,2,1,4,3,3,1,2,1,2,1
Europe,Europe & Central Asia,HIC,FIN,Finland,2000,106.6679292,104.7283057,54.89862343,4.278711953,5.919335123,2.288777489,86.08326826,54.45751816,40.52468907,50.8886447,36.81979125,17.48011148,29.01887255,59.95884258,62.26066823,45.41649477,1.650600085,0.397663609,264.0770745,7841.74302411857,949.924628003438,800.687657918327,1287.43063363554,65.5301327062168,301.094178321523,2330.38286807585,2363.62706142151,5.71338742116689,4823.70069040578,2075.69629737219,71.2778094426175,76.5290606407666,1578.91195276892,895.09081884093,730.003385119522,615.508413779046,1130.35014250703,148.958335084667,36.2978150833333,64.0862939861714,33.2696900915,54.45751816,1,2330.38286807585,3160.85343349077,427.73533430602,1118.67763081949,708.098035848687,5,8.01,3.88,80.86,752.11,0,2,42.15840988,74.9255788717317,138603940251.911,82.183,2.934133522,6.666745575,4.363679404,0.572194372,0.493277927,9.454004513,7.496564019,5.205666154,2.347260519,0,2.624883875,0,0,3,2,3,1,1,2,1,4,4,3,3,3,4,4,1,4,4,1,4,4,2,1,2,1,1,4,4,1,4,4,1,1,1,1,4,4,4,4,4,1,1,4,4,4,1,2,1,1,1,4,2,1,2,3,3,4,4,3,2,2,1,4,3,3,1,2,2,2,1
Europe,Europe & Central Asia,HIC,FIN,Finland,2005,136.1730713,114.6544809,56.24009364,4.029418641,5.923932278,2.399270851,92.21541941,56.59414965,44.49035548,53.0089777,37.44197423,16.02388684,29.57636908,60.99908647,57.75596437,43.65126435,1.788570215,0.715986095,253.2550391,7219.94468618653,951.952770472974,892.586850757065,1501.80544808043,78.2789924979639,290.077772783377,2223.25117744758,2426.6345566705,5.06121890967957,4968.63557781875,2202.81168398492,65.5038146122497,69.2277651148833,1516.49843339526,460.398030483615,787.164022601698,621.022395165887,1180.037243046,153.485397667,37.84107334,82.8333198735714,30.8926915055,56.59414965,1,2223.25117744758,3130.8712950514,355.006575399575,1226.8791092767,756.804622961476,4,7.54,3.61,79.91,711.73,0,2,46.26768301,76.5889740444293,168125347142.81,82.905,3.049253753,8.510816956,4.777270038,0.599817713,0.493661023,9.56543565,7.388546141,4.93262193,2.808475268,0,4.141784542,0,0,4,2,3,1,1,1,1,4,4,3,3,2,4,4,1,4,4,3,4,4,3,1,3,1,1,4,4,1,4,4,1,1,1,1,4,4,4,4,3,1,1,4,4,4,1,3,1,1,1,4,2,1,3,3,3,4,4,4,2,1,1,4,3,4,1,2,3,2,1
Europe,Europe & Central Asia,HIC,FIN,Finland,2010,125.5085228,117.1870022,54.40768871,4.645514423,5.833087435,2.942954134,88.98697134,59.004727,53.4466271,56.09101311,39.85131223,16.64779474,30.86072969,63.53425017,53.87930416,44.11772456,1.822527073,0.487741751,294.668524,7090.77718743164,976.091100602082,966.634339323324,1494.88756274283,82.3010850100859,251.507542437153,2274.05001342983,2511.38866314231,4.72003924304927,5004.2882863438,2370.69300071262,63.3472052551178,67.1527038280543,1398.28612478867,298.343281509038,835.457947122908,629.732241038394,1128.95109613693,162.306523367733,42.06181165,72.9199070436857,29.2624092915,59.004727,1,2274.05001342983,3156.92603014837,309.379711724453,1235.48933167246,798.183290180859,4,6.99,1.42,80.74,652.02,0,2,42.92223249,75.4612085231229,208905524120.84,83.77,3.179133998,7.844282675,4.882791758,0.735738534,0.48609062,9.548532106,6.970258293,5.236699217,0.546824807,0,3.491880479,0,0,4,2,3,1,1,2,1,4,4,3,3,2,4,4,1,4,4,1,4,4,3,1,3,1,1,4,4,1,4,4,1,1,1,1,4,4,4,4,3,1,1,4,4,4,1,3,2,1,1,4,1,1,2,3,3,4,4,4,2,2,1,4,3,4,1,2,3,2,1
Europe,Europe & Central Asia,HIC,FIN,Finland,2015,147.155005,120.4053157,54.40233919,5.537647497,6.121817901,2.961565253,89.40013591,56.40900351,59.79111204,56.79227721,38.93062608,18.66361958,31.94717174,61.85898525,57.17121677,42.10874741,1.822379328,0.469782188,332.7043568,6696.59008227658,1018.27219907505,1119.69552749849,1351.52076188856,57.6308630066117,208.249336136353,2166.73709480053,2636.39956378195,4.17896086721226,5109.42546110698,2533.15237754467,63.0488313606132,57.0243628353959,1396.73647004325,249.789250962736,893.742939143432,636.456324746208,983.878350456956,168.205400850067,45.0823362766667,75.7589076574857,31.3544321335,56.40900351,1,2166.73709480053,3142.19812905176,290.951153601739,1184.89648048181,878.075926122349,4,5.63,4.19,82.29,830.73,0,2,41.61971012,71.9618253787014,231615508030.819,85.225,3.039278206,9.197187813,5.016888154,0.740391313,0.510151492,9.57864724,7.130099639,5.015003328,0,0,1.392062938,0,0,4,2,3,1,1,1,1,4,4,3,3,3,4,4,1,4,4,1,4,4,3,1,3,1,1,4,4,1,4,4,1,1,1,1,4,4,4,4,4,1,1,4,4,4,1,3,2,1,1,4,2,1,2,2,3,4,4,4,2,1,1,4,3,4,1,2,2,2,1
